,name,city,province
3131,National Trail Motel,Markleysburg,PA
3132,Red Roof Inn & Suites Oxford,Oxford,AL
3133,Holiday Inn Express Murrysville-Delmont,Delmont,PA
3134,Marv Herzog Hotel,Frankenmuth,MI
3137,Pelican Shores Inn,Lincoln City,OR
3138,Red Carpet Inn,Chambersburg,PA
3139,Hampton Inn Pittsburgh/West Mifflin,Pittsburgh,PA
3141,My Place Hotel-south Omaha/la Vista Ne,La Vista,NE
3142,Midtown Western Inn,Kearney,NE
3145,Best Western Plus Grand Island Inn Suites,Grand Island,NE
3147,Kimpton Hotel Monaco Philadelphia,Philadelphia,PA
3151,Boulders Inn & Suites,Milford,IA
3152,Microtel Inn Suites By Wyndham Kearney,Kearney,NE
3154,Agate Beach Motel,Newport,OR
3157,Motel 6-york North,York,PA
3158,Radisson Hotel Valley Forge,King Of Prussia,PA
3159,Countryside Cottages,Bartonsville,PA
3160,Gateway Lodge,Cooksburg,PA
3163,Hampton Inn El Reno,El Reno,OK
3164,Freehand Chicago,Chicago,IL
3176,Red Mill Inn,Lewes,DE
3177,Eagle's Nest Resort,Nisswa,MN
3179,America's Best Inn Annandale,Annandale,MN
3181,Ludlow's Island Resort,Cook,MN
3183,Midway Motel,Saint Paul,MN
3184,Microtel Inn Suites By Wyndham Bloomington/minneapolis,Minneapolis,MN
3185,Sleep Inn Suites-marshall,Marshall,MN
3188,Adobe Hacienda Motel,Hollywood,FL
3190,University Inn,Oxford,MS
3191,Midland Railroad Hotel,Wilson,KS
3192,Hotel At Waterwalk,Wichita,KS
3197,Red Coach Inn Suites Hutchinson,Hutchinson,KS
3198,Hilton Garden Inn-olathe,Olathe,KS
3199,Holiday Inn Express Suites Newton,Newton,KS
3200,Hampton Inn Suites Asheville Biltmore Village,Asheville,NC
3202,Rimrock Hotel Inc,Naturita,CO
3204,Motel 6 Tupelo,Tupelo,MS
3205,C H Motel,El Dorado Springs,MO
3206,Cobblestone Inn Suites-eads,Eads,CO
3209,Red Roof Inn Suites Scottsboro,Scottsboro,AL
3213,Golden Plains Motel,Holyoke,CO
3214,Grand Imperial Hotel,Silverton,CO
3216,Ocean Breeze Lodge,Fort Bragg,CA
3217,Wyndham Garden Tallahassee Capitol,Tallahassee,FL
3220,Shalimar Cottages Motel,Sanibel,FL
3221,Austria Haus Hotel,Vail,CO
3222,Buccaneer Beach Motel,Panama City,FL
3223,Castle Inn,Castle Rock,CO
3224,11th Avenue Hotel Hostel,Denver,CO
3225,Worldmark Estes Park,Estes Park,CO
3227,Americas Best Value Inn-phoenix/i-10 West,Phoenix,AZ
3228,Hampton Inn-atlanta/fairburn,Fairburn,GA
3229,Hampton Inn-bainbridge,Bainbridge,GA
3230,Riverbend Motel Cabins,Helen,GA
3243,Best Western Rose City Conference Center Inn,Thomasville,GA
3244,Homewood Suites By Hilton Columbus,Columbus,GA
3245,Extended Stay America - Columbia - Stadium Blvd.,Columbia,MO
3246,Campfire Lodge Resort,West Yellowstone,MT
3247,Ramada Plaza Hawthorne/lax,Hawthorne,CA
3248,Comfort Inn-lone Pine,Lone Pine,CA
3249,Fairfield Inn Great Falls,Great Falls,MT
3252,Groveland Hotel,Groveland,CA
3253,Hacienda Hot Springs Inn,Desert Hot Springs,CA
3254,Waikiki Gateway Hotel,Honolulu,HI
3257,The Surfjack Hotel Swim Club,Honolulu,HI
3258,Courtyard Tuscaloosa,Tuscaloosa,AL
3261,Best Western Plus St Charles Inn,New Orleans,LA
3331,Hilton Garden Inn Williamsburg,Williamsburg,VA
3332,Hampton Inn Suites Jackson,Jackson,TN
3347,Best Western Plus Raton Hotel,Raton,NM
3356,Best Western Lamplighter Inn Suites at SDSU,San Diego,CA
3380,Voyageur Motel,International Falls,MN
3381,Homewood Suites By Hilton Jackson-ridgeland,Ridgeland,MS
3383,Four Points By Sheraton Mall Of America Minneapolis Airport,Minneapolis,MN
3384,Wilderness Lodge,Bigfork,MN
3385,Hampton Inn Suites Knoxville-turkey Creek/farragut,Knoxville,TN
3386,Santas Lodge,Santa Claus,IN
3390,Hampton Inn-orange City,Orange City,IA
3392,Toadlily House,Port Angeles,WA
3394,Holiday Inn Express Suites Lander,Lander,WY
3396,Americas Best Value Inn Green River,Green River,UT
3398,Uncle Gabby's Motel,Clinton,MO
3399,Extended Stay America-salt Lake City-union Park,Midvale,UT
3401,Sailor Jack Oceanfront Motel,Lincoln City,OR
3403,Hampton Inn-warrenton,Warrenton,VA
3404,Econo Lodge-garibaldi,Garibaldi,OR
3405,The Historic Jefferson Hotel,Jefferson,TX
3409,Bumbleberry Inn,Springdale,UT
3411,Comfort Inn-green River,Green River,UT
3412,Kozy Rest Motel,Montello,WI
3413,Iron Ridge Inn Motel,Iron Ridge,WI
3414,Copperleaf Hotel,Appleton,WI
3416,Days Inn Seattle North Of Downtown,Seattle,WA
3418,St George Inn Suites St George,Saint George,UT
3419,Americas Best Value Inn-corpus Christi North/airport,Corpus Christi,TX
3420,The Bunkhouse Lodge,Lincoln,MO
3422,Hotel Emma,San Antonio,TX
3605,Sea Horse Oceanfront Lodging,Lincoln City,OR
3606,Best Western Spooner Riverplace,Spooner,WI
3607,Holiday Inn Express Suites Madison Central,Madison,WI
3610,Capri Motel,Holdenville,OK
3611,Budget Inn,Natural Bridge,VA
3612,Hawthorn Suites By Wyndham Oshkosh,Oshkosh,WI
3613,The Polynesian Resort,Ocean Shores,WA
3615,Hotel Cape Charles,Cape Charles,VA
3619,Virginian Hotel,Medicine Bow,WY
3620,Hotel Flora and Fauna,Wimberley,TX
3621,Klondike Motel,Republic,WA
3622,Dungeness Bay Cottages,Sequim,WA
3623,Bunk House Motel,Chadron,NE
3626,Henry Howard Hotel,New Orleans,LA
3628,Staybridge Suites,Missoula,MT
3634,Knights Inn North Platte,North Platte,NE
3635,Husker Inn,North Platte,NE
3636,Knights Inn Metairie,Metairie,LA
3637,Super 8 Franklin,Franklin,KY
3638,Super 8-lincoln West,Lincoln,NE
3640,Comfort Inn-louisville,Louisville,KY
3641,Mainstay Suites-sidney,Sidney,MT
3646,Miles City Hotel Suites,Miles City,MT
3647,Island Inn,Grand Island,NE
3648,ECO LUX Inn,Norfolk,NE
3649,The Cornstalk Hotel,New Orleans,LA
3650,The Mercantile Hotel,New Orleans,LA
3651,Americas Best Value Inn Louisville,Louisville,KY
3652,Hampton Inn-kearney,Kearney,NE
3654,Red Roof Inn Denver,Denver,PA
3655,Hyatt Place HoustonSugar Land,Sugar Land,TX
3656,Covered Bridge Motel Apartments,Rockville,IN
3657,Motel 6-dubuque,Dubuque,IA
3658,Howard Johnson Inn - Flagstaff,Flagstaff,AZ
3660,Georgia Tech Hotel Conference Center,Atlanta,GA
3679,Motel 6-perry,Perry,GA
3682,Eldorado Suites Hotel,Bisbee,AZ
3688,Western Motel,Sierra Vista,AZ
3689,Baker's Sunset Bay Resort,Wisconsin Dells,WI
3695,Great View Motel,Fort Covington,NY
3696,The Grand Highland Hotel,Prescott,AZ
3707,Found Re Phoenix,Phoenix,AZ
3726,Nine Pines Motel,Pinetop,AZ
3729,Comfort Inn Suites-dover,Dover,DE
3730,Casa LOMA Hotel,San Francisco,CA
3733,Cobblestone Inn Suites-holyoke,Holyoke,CO
3734,Hotel Tropica,San Francisco,CA
3736,Atlantic Inn,Millsboro,DE
3737,Columbus Motor Inn,San Francisco,CA
3773,Best Western-rambler,Walsenburg,CO
3775,Hampton Inn Alice,Alice,TX
3777,Sleep Inn,Miramar Beach,FL
3778,LA Hacienda Motel,Seattle,WA
3781,Red Roof Inn Toledo-holland,Holland,OH
3782,Quality Inn Suites-sequim,Sequim,WA
3787,Saratoga Resort Spa,Saratoga,WY
3788,Sands Resort,Ocean Shores,WA
3789,Quillayute River Resort LLC,Forks,WA
3790,Four Points By Sheraton Oklahoma City Quail Springs,Oklahoma City,OK
3791,Aspen Extended Stay Suites,Kenai,AK
3792,Country Inn Suites By Radisson Phoenix Airport Az,Phoenix,AZ
3796,Regency Inn,Bald Knob,AR
3798,Super 8 By Wyndham Phoenix Metro North,Phoenix,AZ
3804,Americas Best Value Inn Grand Junction,Grand Junction,CO
3807,Staybridge Suites-colorado Springs,Colorado Springs,CO
3811,Motel 6,Flagstaff,AZ
3812,Springhill Suites-fairbanks,Fairbanks,AK
3816,Kiowa Motel,Kiowa,KS
3818,Quality Inn Downtown Historic District,Mobile,AL
3822,Courtyard Chicago Deerfield,Deerfield,IL
3823,Homewood Suites by Hilton RaleighDurham APResearch Triangle,Durham,NC
3831,Quality Inn Suites,Butte,MT
3832,The Harkness Hotel,Mccammon,ID
3833,Minna Hotel,San Francisco,CA
3837,Hillcrest Motel,Moscow,ID
3841,Ocean View Terrace Motel,Hampton Bays,NY
3844,Travelodge,Aberdeen,MD
3846,Courtyard Phoenix North Happy Valley,Phoenix,AZ
3847,Holiday Inn Hotel Suites Denver Airport,Denver,CO
3851,Magnuson Hotel On The Lake,Clarksville,VA
3852,Red Roof Inn Cookeville Tennessee Tech,Cookeville,TN
3853,Wyndham Garden-dallas North,Dallas,TX
3868,The Eastland Hotel,Eastland,TX
3869,Delano Las Vegas,Las Vegas,NV
3889,Wild Goose Lodge,Merrill,OR
3890,Home2 Suites By Hilton St Louis/forest Park,Saint Louis,MO
3891,Dreamers Lodge,John Day,OR
3892,Phoenix Motel Oregon,Phoenix,OR
3893,Courtesy Inn Eugene,Eugene,OR
3894,Quiet Haven Motel,Ronks,PA
3895,Flying Arrow Resort,Joseph,OR
3900,Allstate Inn,Seymour,IN
3903,Americinn Hotel Suites Pella,Pella,IA
3904,Maple Leaf Motel,Shady Cove,OR
3908,Lexington Inn Ardmore,Ardmore,OK
3909,Willow Brook Lodge,Pigeon Forge,TN
3911,Extended Stay America-dallas-market Center,Dallas,TX
3923,Americas Best Value Inn-alva,Alva,OK
3924,Pine Point Lodge,Iron River,WI
3925,Sportsman Lodge,Red Bluff,CA
3926,Hotel Zaza Dallas,Dallas,TX
3954,Knights Inn-mt Gilead,Mount Gilead,OH
3955,Rancher Motel-Cafe,Delta,UT
3956,Hawthorn Suites By Wyndham Dallas Park Central,Dallas,TX
3987,Seneca Motel,Seneca,KS
3988,Hilton Garden Inn-waldorf,Waldorf,MD
3991,Super 8 Richfield Area,Richfield,OH
3993,The Sheeley House Bed Breakfast,High Falls,NY
3998,Motel Mediteran,Escondido,CA
3999,Scottsdale Links Resort,Scottsdale,AZ
4000,Aloft New Orleans Downtown,New Orleans,LA
4019,Lemon Tree Hotel Suites,Anaheim,CA
4024,Oxford Hotel,Bend,OR
4035,Falls Motel,Black River Falls,WI
4036,Flamingo Motel,Garden City,KS
4037,Fairfield Inn Suites Indianapolis Downtown,Indianapolis,IN
4038,Sleep Inn and Suites,Rapid City,SD
4049,Z Bar Motel,Buffalo,WY
4052,Mountain View Motel Campground,Buffalo,WY
4053,Executive Inn,Dallas,TX
4054,La Quinta Inn Suites Canton,Canton,MS
4056,Dock's Motel Cabins,Townsend,TN
4057,Hill Country Equestrian Lodge,Bandera,TX
4061,The Benson Hotel,Portland,OR
4078,Fairfield Inn Tuscaloosa,Tuscaloosa,AL
4081,Microtel Inn Suites By Wyndham Mesquite/dallas At I-30,Mesquite,TX
4082,Microtel Inn Suites By Wyndham Pleasanton,Pleasanton,TX
4083,The Summit Of Gatlinburg,Gatlinburg,TN
4084,Holiday Inn Express Suites Jackson Northeast,Jackson,TN
4086,Fairfield Inn Bozeman,Bozeman,MT
4088,Best Western Inn Suites At Discovery Kingdom,Vallejo,CA
4093,Hilton Garden Inn Clovis,Clovis,CA
4096,Holiday Inn Express Pembroke,Pembroke,NC
4103,Days Inn Newton,Newton,KS
4104,Sonesta Es Suites St Louis,Saint Louis,MO
4105,Skyline Motel,Alexandria,MN
4106,Comfort Suites,Anderson,SC
4109,Oxford Inn Silverdale,Silverdale,WA
4110,Econolodge,Gettysburg,PA
4113,Hotel Beverly Terrace,Beverly Hills,CA
4114,Shoreline Hotel Waikiki,Honolulu,HI
4132,Hotel Occidental,San Diego,CA
4134,Econo Lodge-san Angelo,San Angelo,TX
4136,Hotel Diva,San Francisco,CA
4255,Ojai Rancho Inn,Ojai,CA
4256,Ocotillo Lodge,Palm Springs,CA
4257,Hyatt Centric Waikiki Beach,Honolulu,HI
4281,Hotel Zephyr,San Francisco,CA
4311,Homewood Suites By Hilton San Jose Airport-silicon Valley,San Jose,CA
4312,Hotel Indigo Napa Valley,Napa,CA
4321,Loews Philadelphia Hotel,Philadelphia,PA
4326,Little Paradise Hotel,Palm Springs,CA
4330,Hilton Garden Inn Valley ForgeOaks,Phoenixville,PA
4335,Inn by the Lake,South Lake Tahoe,CA
4351,SpringHill Suites Minneapolis Eden Prairie,Eden Prairie,MN
4356,Hampton Inn-toledo/oregon,Oregon,OH
4358,Holiday Inn Garland,Garland,TX
4363,Travelodge Chambersburg,Chambersburg,PA
4366,SpringHill Suites Indianapolis Downtown,Indianapolis,IN
4368,Barn Motor Inn,Prosser,WA
4373,Best Western Markland Hotel,Monterey Park,CA
4375,Residence Inn Kansas City Olathe,Olathe,KS
4380,Motel 6 Euless DFW West,Euless,TX
4381,Quality Suites,Moab,UT
4385,Thunderbird Motel,Elko,NV
4386,Avalon Hotel and Conference Center,Erie,PA
4387,Cupertino Inn,Cupertino,CA
4390,Capitola Venetian Hotel,Capitola,CA
4393,Neu Lodge Motel,Lakehead,CA
4394,Hyatt Place San Diego/vista-carlsbad,Vista,CA
4399,La Quinta Inn Lufkin,Lufkin,TX
4401,Holiday Inn Laguna Beach,Laguna Beach,CA
4402,Best Western Suites Near Opryland,Nashville,TN
4403,Hyatt House CharlotteCenter City,Charlotte,NC
4422,Innkeeper Roxboro,Roxboro,NC
4424,Hilton Garden Inn,Bartlesville,OK
4426,Best Western Plus Franklin Square Inn TroyAlbany,Troy,NY
4428,Best Western Plus Eau Claire Conference Center,Eau Claire,WI
4432,Hampton Inn Suites DetroitCanton,Canton,MI
4440,Best Western Mt Pleasant Inn,Mount Pleasant,IA
4444,Days Inn College Park Airport Best Road,Atlanta,GA
4450,Holiday Inn Express,Milwaukee,WI
4451,The Parisian Courtyard Inn,New Orleans,LA
4452,Ace Hotel-new Orleans,New Orleans,LA
4453,Plantation suites,Port Aransas,TX
4456,Orlando Continental Plaza Hotel,Orlando,FL
4495,Best Florida Resort,Fort Lauderdale,FL
4497,McMenamins Hotel Oregon,McMinnville,OR
4509,Holiday Inn Express & Suites Raton,Raton,NM
4510,Courtyard Macon,Macon,GA
4513,Econo Lodge Inn Suites Near Legoland,Carlsbad,CA
4514,Days Inn Orange ParkJacksonville,Orange Park,FL
4523,Hampton Inn Suites Yonkers,Yonkers,NY
4524,The San Remo Hotel,San Francisco,CA
4539,Hyatt Place DallasLas Colinas,Irving,TX
4542,Hyatt Place AtlantaDowntown,Atlanta,GA
4570,Quality Inn-rexburg,Rexburg,ID
4572,Hilton Garden Inn Harrisburg East,Harrisburg,PA
4574,NYLO Plano at Legacy,Plano,TX
4583,Best Western Plus Inntowner Madison,Madison,WI
4585,Residence Inn Dallas Richardson,Richardson,TX
4587,Travelodge Los Banos,Los Banos,CA
4588,Best Western Plus ArlingtonMarysville,Arlington,WA
4599,Fairfield Inn Suites Naples,Naples,FL
4602,Red Carpet Inn Unadilla,Unadilla,GA
4604,Grand Union Motel,Saratoga Springs,NY
4605,Best Western Webster Hotel Nasa,Webster,TX
4610,Rodeway Inn Suites,Riverton,WY
4612,Courtyard Monroe Airport,Monroe,LA
4615,Horizon Inn Motel,Lincoln,NE
4625,Best Western Country Suites,Indianapolis,IN
4628,Best Western Of Whitmore Lake,Whitmore Lake,MI
4630,Comfort Inn Suites San Francisco Airport North,South San Francisco,CA
4637,Best Western Granbury Inn Suites,Granbury,TX
4638,Studio 6-vernal,Vernal,UT
4639,Alamar Resort Inn,Virginia Beach,VA
4640,Dayton Motel,Dayton,WA
4641,The Inn At Virginia Mason,Seattle,WA
4661,Ballard Inn,Seattle,WA
4665,Ponderosa Motel,Goldendale,WA
4667,The Historic Elk Mountain Hotel,Elk Mountain,WY
4670,"My Place Hotel-rock Springs, Wy",Rock Springs,WY
4674,Drury Plaza Hotel Cleveland Downtown,Cleveland,OH
