,name,city,province
8503,Motel 6 Ellensburg,Ellensburg,WA
8505,Sunshine Inn,Wall,SD
8507,Friendship Inn,Altus,OK
8510,Comfort Inn Evansville-Casper,Evansville,WY
8511,Hyatt Place Atlanta Airport South,Atlanta,GA
8512,Comfort Inn Traverse City,Traverse City,MI
8515,Hilton Garden Inn Athens Downtown,Athens,GA
8522,Best Western Plus San Marcos Inn,Morro Bay,CA
8525,Comfort Suites Downtown,Orlando,FL
8581,TownePlace Suites Anaheim Maingate Near Angel Stadium,Anaheim,CA
8638,Hampton Inn & Suites Dallas/Cockrell Hill I-30,Dallas,TX
8657,Residence Inn Atlanta Midtown/Peachtree at 17th,Atlanta,GA
8677,Hampton Inn Atlanta-Perimeter Center,Atlanta,GA
8718,Intown Suites Piedmont,Atlanta,GA
8720,Extended Stay America - Atlanta - Perimeter - Peachtree Dunwoody,Atlanta,GA
8724,Extended Stay America - Atlanta - Perimeter - Hammond Drive,Atlanta,GA
8737,The Annex at The Chelsea,Atlantic City,NJ
8787,Hotel Floyd,Floyd,VA
8788,Maplelag,Callaway,MN
8790,The College Club of Boston,Boston,MA
8816,"St. James Hotel, an Ascend Hotel Collection Member",New Orleans,LA
8952,Hampton Inn & Suites New Orleans Downtown (French Quarter Area),New Orleans,LA
8969,Days Inn-Boardman,Youngstown,OH
8974,Wyndham Santa Monica At The Pier,Santa Monica,CA
8984,Holiday Inn Express & Suites Hamburg,Hamburg,NY
8987,Days Inn-Easton,Easton,PA
8989,Super 8-Dover,Dover,DE
8991,Crossland Economy Studios-phoenix-west,Phoenix,AZ
8993,Red Roof Inn Richmond South,Richmond,VA
8995,High Point World Resort,Kissimmee,FL
8996,Inn Of The Dove,Harrisburg,PA
9000,Hampton Inn Selma/smithfield I-95,Selma,NC
9003,Maxwell Inn,Estes Park,CO
9008,Wood Spring Suites-orlando East,Orlando,FL
9012,Quality Suites Otay Mesa,San Diego,CA
9016,Rodeway Inn San Diego Near Qualcomm Stadium,San Diego,CA
9045,Bardessono,Yountville,CA
9047,Super 8-Dubois,Dubois,WY
9049,Hyatt Place Fort Worth-Cityview,Fort Worth,TX
9050,Courtyard San Francisco Union Square,San Francisco,CA
9069,Courtyard San Diego Rancho Bernardo,San Diego,CA
9095,SpringHill Suites San Diego Downtown/Bayfront,San Diego,CA
9116,SpringHill Suites Seattle Downtown/South Lake Union,Seattle,WA
9191,Residence Inn Seattle Downtown/Lake Union,Seattle,WA
9241,Fairfield Inn Philadelphia Airport,Philadelphia,PA
9342,Biltmore Hotel,Miami,FL
9349,Holiday Pines Motel,Jay,OK
9350,Quality Suites Buckhead Village,Atlanta,GA
9398,Budget Host Inn Tombstone,Tombstone,AZ
9402,Rodeway Inn Silver Creek Inn,Taylor,AZ
9405,Residence Inn Phoenix North Happy Valley,Phoenix,AZ
9407,Comfort Inn Lucky Lane,Flagstaff,AZ
9409,Hampton Inn Suites Phenix City-Columbus Area,Phenix City,AL
9410,Hotel Finial,Anniston,AL
9413,Beachcomber By The Sea,Panama City Beach,FL
9416,DoubleTree Suites by Hilton Naples,Naples,FL
9427,Hampton Inn Colorado Springs-airport,Colorado Springs,CO
9428,Holiday Inn Express Atlanta-kennesaw,Kennesaw,GA
9429,Can Am Inn,Warroad,MN
9430,Hilton Garden Inn Oakland-San Leandro,San Leandro,CA
9432,Christy's Motel,Old Forge,NY
9434,Hilton Garden Inn Ithaca,Ithaca,NY
9436,PG Waterfront Hotel and Suites,Punta Gorda,FL
9449,Courtyard Fort Worth Fossil Creek,Fort Worth,TX
9450,Days Inn-Columbus Airport,Columbus,OH
9451,Baymont Inn & Suites Tampa Near Busch Gardens / Usf,Tampa,FL
9467,Palace Inn Kemah,Kemah,TX
9470,Knights Inn Market Center,Dallas,TX
9496,Surrey Inn,Caldwell,TX
9497,Holiday Inn Nashville Airport,Nashville,TN
9498,MET Troy,Troy,MI
9499,Hampton Inn St LouisDowntown At the Gateway Arch,Saint Louis,MO
9506,Clarion Inn & Suites,Gatlinburg,TN
9509,Black Bear Cove Resort,Benton,TN
9518,Slide Mountain Motel,Shandaken,NY
9519,Hampton Inn & Suites Pasco/tri-cities,Pasco,WA
9520,WoodSpring Suites Columbus Urbancrest,Grove City,OH
9521,Hampton Inn Elkins,Elkins,WV
9527,Wyndham Ka Eo Kai,Princeville,HI
9528,Harvey's Motel,San Diego,CA
9531,Fairfield Inn Roseville,Roseville,CA
9532,Courtyard by Marriott Orlando Downtown,Orlando,FL
9558,Hampton Inn & Suites Orlando at SeaWorld,Orlando,FL
9647,Motel 6 Atlanta Downtown,Atlanta,GA
9681,Residence Inn by Marriott Dallas Central Expressway,Dallas,TX
9687,Anaheim Del Sol Inn,Anaheim,CA
9783,Conrad Chicago,Chicago,IL
9857,Homewood Suites by Hilton Lake Buena Vista-Orlando,Orlando,FL
9979,Americas Best Value Astoria Inn and Suites,Anaheim,CA
9981,Pacific Inn,Anaheim,CA
9985,FishUn Time Resort,Oakland,AR
9989,Courtyard Birmingham Downtown at UAB,Birmingham,AL
9992,Hilton Garden Inn Auburn/Opelika,Auburn,AL
9993,Hampton Inn Hampton-newport News,Hampton,VA
9998,Roseberry's Inn,Hunter,NY
9999,Hampton Inn-lindale/tyler,Lindale,TX
